price,levy,manufacturer,prod_year,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,is_turbo,car_age
549,1436.0,PORSCHE,2010,Jeep,Yes,Petrol,3.6,160259,6.0,Automatic,4x4,2-3,Left wheel,Silver,12,0,16
220,1194.0,TOYOTA,2013,Jeep,Yes,Petrol,4.0,239342,6.0,Automatic,4x4,2-3,Left wheel,Silver,12,0,13
15681,503.0,TOYOTA,2012,Hatchback,No,Hybrid,1.5,128000,4.0,Variator,Front,2-3,Left wheel,Sky blue,8,0,14
55390,1017.0,HYUNDAI,2017,Jeep,Yes,Diesel,2.0,100734,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,9
12544,,TOYOTA,2012,Hatchback,No,Hybrid,1.5,141500,4.0,Automatic,Front,2-3,Right-hand drive,Black,8,0,14
17249,,FORD,2008,Jeep,No,Hybrid,2.3,147000,4.0,Variator,4x4,2-3,Left wheel,White,8,0,18
34889,891.0,HONDA,2016,Sedan,Yes,Petrol,2.0,87768,4.0,Automatic,Front,2-3,Left wheel,Blue,4,0,10
862,1104.0,AUDI,2015,Jeep,Yes,Petrol,3.0,264014,6.0,Automatic,4x4,2-3,Left wheel,Black,0,0,11
14583,,RENAULT,2008,Sedan,No,Diesel,1.5,132542,4.0,Manual,Front,2-3,Left wheel,White,10,1,18
392,1017.0,MERCEDES-BENZ,2017,Sedan,Yes,Petrol,2.0,1600,4.0,Automatic,Rear,2-3,Left wheel,Black,12,0,9
38500,639.0,AUDI,2014,Jeep,Yes,Petrol,2.0,87000,1.0,Tiptronic,4x4,2-3,Left wheel,White,12,0,12
8781,,MERCEDES-BENZ,2001,Coupe,No,Petrol,2.0,260000,4.0,Manual,Rear,4-5,Left wheel,Blue,0,0,25
1411,629.0,NISSAN,2015,Jeep,Yes,Petrol,1.6,87112,4.0,Automatic,4x4,2-3,Left wheel,Black,0,0,11
392,919.0,BMW,2012,Sedan,Yes,Petrol,3.0,204318,6.0,Automatic,Rear,2-3,Left wheel,Black,12,0,14
23521,781.0,CHEVROLET,2018,Sedan,No,Petrol,1.4,22000,4.0,Automatic,Front,2-3,Left wheel,Red,6,1,8
16935,530.0,FORD,2013,Sedan,No,Petrol,1.6,83000,4.0,Tiptronic,Front,2-3,Left wheel,Silver,8,1,13
10349,,TOYOTA,2007,Minivan,Yes,Petrol,2.4,170000,4.0,Automatic,Front,2-3,Right-hand drive,Black,6,0,19
7213,530.0,NISSAN,2013,Jeep,Yes,Petrol,1.6,312118,4.0,Automatic,Front,2-3,Left wheel,Black,0,0,13
5331,,MERCEDES-BENZ,2004,Sedan,No,Petrol,1.6,130000,4.0,Tiptronic,Front,2-3,Left wheel,Black,6,0,22
20526,640.0,HYUNDAI,2013,Jeep,Yes,Diesel,2.0,200279,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,13
9722,765.0,HYUNDAI,2015,Sedan,Yes,LPG,2.0,719847,4.0,Automatic,Front,2-3,Left wheel,Orange,4,0,11
34657,777.0,HYUNDAI,2014,Minivan,Yes,Diesel,2.5,154672,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,12
36564,1091.0,HYUNDAI,2016,Minivan,Yes,Diesel,2.5,110969,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,10
314,779.0,TOYOTA,2013,Sedan,Yes,Hybrid,2.5,225510,4.0,Automatic,Front,2-3,Left wheel,White,12,0,13
5488,,TOYOTA,2001,Hatchback,No,Petrol,1.5,210000,4.0,Manual,Front,2-3,Right-hand drive,Sky blue,3,0,25
30063,934.0,HYUNDAI,2015,Universal,Yes,Diesel,2.5,148105,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,11
15800,769.0,CHEVROLET,2011,Jeep,Yes,Diesel,2.2,255456,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,15
43952,1249.0,HYUNDAI,2017,Universal,Yes,Diesel,2.5,111643,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,9
53154,891.0,HYUNDAI,2016,Jeep,Yes,Diesel,2.0,84506,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,10
14740,645.0,TOYOTA,2011,Hatchback,No,Hybrid,1.8,288000,4.0,Automatic,Front,2-3,Left wheel,White,8,0,15
42337,,FORD,2016,Cabriolet,Yes,Petrol,2.3,75000,4.0,Tiptronic,Rear,4-5,Left wheel,Silver,6,1,10
3763,1053.0,MERCEDES-BENZ,2014,Jeep,Yes,Petrol,3.5,94362,6.0,Automatic,Rear,2-3,Left wheel,White,12,0,12
18189,,TOYOTA,2012,Sedan,No,Petrol,1.8,175000,4.0,Automatic,Front,2-3,Left wheel,Silver,8,0,14
862,2455.0,LEXUS,2008,Jeep,Yes,Petrol,4.7,263190,8.0,Automatic,4x4,2-3,Left wheel,White,0,0,18
220,1185.0,FORD,2009,Jeep,Yes,Hybrid,2.5,193614,4.0,Automatic,Front,2-3,Left wheel,White,0,0,17
5645,1324.0,TOYOTA,2010,Jeep,Yes,Hybrid,3.3,264877,6.0,Automatic,4x4,2-3,Left wheel,White,12,0,16
7527,830.0,TOYOTA,2019,Sedan,Yes,Petrol,1.5,27656,4.0,Automatic,Front,2-3,Left wheel,White,12,0,7
21953,1187.0,HONDA,2014,Sedan,No,Hybrid,1.4,16000,8.0,Automatic,4x4,2-3,Right-hand drive,White,10,0,12
8154,,HONDA,1998,Jeep,No,Petrol,2.0,0,4.0,Automatic,4x4,2-3,Right-hand drive,White,2,0,28
21953,781.0,TOYOTA,2012,Sedan,No,Petrol,2.5,195053,4.0,Automatic,Front,2-3,Left wheel,Black,0,0,14
19121,531.0,HYUNDAI,2012,Sedan,Yes,Petrol,1.6,121362,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,14
36065,639.0,HYUNDAI,2014,Jeep,Yes,Diesel,2.0,69191,4.0,Automatic,Front,2-3,Left wheel,White,4,0,12
8781,1111.0,HONDA,2012,Hatchback,Yes,Hybrid,1.3,83000,4.0,Tiptronic,Front,2-3,Right-hand drive,Green,12,0,14
6247,760.0,CHEVROLET,2010,Sedan,Yes,Petrol,1.8,40772,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,16
16289,642.0,CHEVROLET,2012,Jeep,Yes,Diesel,2.0,172000,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,14
77775,1604.0,MERCEDES-BENZ,2014,Jeep,Yes,Petrol,5.5,433811,8.0,Automatic,4x4,2-3,Left wheel,Black,10,0,12
2822,,BMW,1995,Sedan,Yes,Petrol,2.0,350000,6.0,Manual,Rear,2-3,Left wheel,Blue,2,0,31
549,781.0,SUBARU,2012,Jeep,Yes,Petrol,2.5,148213,4.0,Automatic,4x4,2-3,Left wheel,Blue,0,0,14
6981,1095.0,DAEWOO,2008,Sedan,Yes,Petrol,2.0,103246,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,18
27284,891.0,HYUNDAI,2016,Sedan,No,Petrol,2.0,105394,4.0,Tiptronic,Front,2-3,Left wheel,Black,12,0,10
32929,,BMW,2013,Coupe,Yes,Petrol,2.0,160000,4.0,Automatic,Rear,4-5,Left wheel,Black,12,1,13
18817,,NISSAN,1990,Jeep,No,Diesel,2.8,333333,4.0,Manual,Rear,2-3,Left wheel,Black,0,1,36
4234,,HONDA,1997,Hatchback,Yes,Petrol,1.4,0,4.0,Manual,Front,4-5,Left wheel,Blue,6,0,29
15053,,MERCEDES-BENZ,2004,Sedan,Yes,Petrol,3.2,214000,6.0,Tiptronic,Rear,2-3,Left wheel,Grey,8,0,22
15458,966.0,HYUNDAI,2009,Coupe,Yes,Petrol,2.0,123346,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,17
2901,473.0,CHEVROLET,2014,Sedan,Yes,Petrol,1.4,80827,4.0,Automatic,Front,2-3,Left wheel,Green,12,0,12
706,1138.0,PORSCHE,2013,Coupe,Yes,Petrol,3.8,64464,6.0,Automatic,Rear,4-5,Left wheel,Black,12,0,13
314,382.0,FORD,2015,Sedan,Yes,Hybrid,2.0,91760,4.0,Automatic,Front,2-3,Left wheel,Black,12,0,11
15681,1811.0,LEXUS,2010,Jeep,Yes,Petrol,4.6,275240,8.0,Automatic,4x4,2-3,Left wheel,Silver,0,0,16
26657,,MERCEDES-BENZ,2004,Microbus,No,Diesel,2.2,300000,4.0,Manual,Rear,2-3,Left wheel,White,1,1,22
10663,988.0,TOYOTA,2007,Hatchback,No,Petrol,1.5,318400,4.0,Automatic,Front,2-3,Left wheel,Silver,6,0,19
12858,765.0,FORD,2015,Sedan,No,Petrol,2.0,91200,4.0,Automatic,Front,2-3,Left wheel,Sky blue,10,0,11
1019,917.0,BMW,2013,Jeep,Yes,Diesel,3.0,137802,6.0,Automatic,4x4,2-3,Left wheel,Black,12,0,13
549,917.0,BMW,2013,Sedan,Yes,Hybrid,3.0,151586,6.0,Automatic,Rear,2-3,Left wheel,White,12,0,13
12858,,KIA,2016,Hatchback,No,Petrol,1.2,107000,4.0,Manual,Front,2-3,Left wheel,Silver,2,0,10
15000,,BMW,2008,Sedan,Yes,CNG,3.0,210408,6.0,Tiptronic,Rear,2-3,Left wheel,White,12,0,18
44752,1091.0,HYUNDAI,2016,Universal,Yes,Diesel,2.5,86000,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,10
17158,687.0,HYUNDAI,2010,Sedan,Yes,Petrol,1.6,122740,4.0,Automatic,Front,2-3,Left wheel,White,4,0,16
12231,,MITSUBISHI,2005,Jeep,No,LPG,2.4,144000,4.0,Tiptronic,4x4,2-3,Right-hand drive,White,16,0,21
11917,11714.0,MERCEDES-BENZ,2003,Sedan,Yes,Petrol,5.0,150000,12.0,Tiptronic,Rear,2-3,Right-hand drive,White,12,0,23
1254,,MITSUBISHI,1997,Sedan,No,Petrol,1.3,100000,4.0,Manual,Rear,2-3,Left wheel,Red,0,0,29
94,,HONDA,2003,Hatchback,No,Petrol,1.5,178000,4.0,Variator,Front,2-3,Right-hand drive,Silver,4,0,23
25591,640.0,SSANGYONG,2013,Jeep,Yes,Diesel,2.0,85704,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,13
14897,836.0,HYUNDAI,2010,Jeep,Yes,Diesel,2.0,58962,4.0,Automatic,Front,2-3,Left wheel,White,4,0,16
23521,779.0,TOYOTA,2013,Sedan,Yes,Hybrid,2.5,90000,4.0,Tiptronic,Front,2-3,Left wheel,White,12,0,13
3450,,RENAULT,1995,Hatchback,No,Petrol,1.2,50000,3.0,Manual,Front,4-5,Left wheel,Green,0,0,31
706,777.0,MAZDA,2014,Sedan,Yes,Petrol,2.5,0,4.0,Automatic,Front,2-3,Left wheel,Red,12,0,12
1019,1537.0,TOYOTA,2009,Sedan,Yes,Hybrid,3.3,318358,6.0,Automatic,4x4,2-3,Left wheel,Black,12,0,17
16935,765.0,FORD,2015,Sedan,Yes,Petrol,2.0,71454,4.0,Automatic,Front,2-3,Left wheel,Black,0,0,11
19444,781.0,TOYOTA,2012,Sedan,Yes,Petrol,2.5,0,4.0,Tiptronic,Front,2-3,Left wheel,Black,6,0,14
11604,639.0,HYUNDAI,2014,Sedan,Yes,LPG,2.0,346470,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,12
51965,891.0,HYUNDAI,2016,Jeep,Yes,Diesel,2.0,59515,4.0,Automatic,Front,2-3,Left wheel,Blue,4,0,10
706,394.0,TOYOTA,2014,Sedan,Yes,Hybrid,2.5,115312,4.0,Automatic,Front,2-3,Left wheel,Grey,12,0,12
9408,,MERCEDES-BENZ,1999,Sedan,No,Diesel,2.2,111111,4.0,Manual,Rear,2-3,Left wheel,Silver,4,1,27
13328,1347.0,HYUNDAI,2008,Minivan,Yes,Diesel,2.5,74444,4.0,Automatic,Front,2-3,Left wheel,Yellow,4,0,18
17876,,NISSAN,2012,Minivan,No,Petrol,2.0,143000,4.0,Tiptronic,Front,2-3,Right-hand drive,White,12,0,14
549,2866.0,NISSAN,2004,Sedan,Yes,Petrol,3.5,299709,6.0,Automatic,Front,2-3,Left wheel,Grey,12,0,22
20071,,TOYOTA,2008,Jeep,No,Petrol,2.4,135000,4.0,Automatic,4x4,2-3,Left wheel,Silver,8,0,18
22894,862.0,HYUNDAI,2011,Minivan,Yes,Diesel,2.5,124444,4.0,Automatic,Front,2-3,Left wheel,Yellow,4,0,15
2901,503.0,HONDA,2012,Sedan,Yes,Hybrid,1.5,146403,4.0,Automatic,Front,2-3,Left wheel,White,0,0,14
15681,,MITSUBISHI,1997,Jeep,No,Petrol,2.4,142000,4.0,Automatic,4x4,4-5,Left wheel,Blue,6,0,29
39829,1811.0,LEXUS,2010,Jeep,Yes,Petrol,4.6,155821,8.0,Automatic,4x4,2-3,Left wheel,Black,0,0,16
706,1646.0,LEXUS,2015,Jeep,Yes,Petrol,4.6,102907,8.0,Automatic,4x4,2-3,Left wheel,Black,0,0,11
18660,,HYUNDAI,2013,Sedan,Yes,Petrol,2.4,130000,4.0,Tiptronic,Front,2-3,Left wheel,Black,6,0,13
22580,1017.0,MERCEDES-BENZ,2017,Sedan,Yes,Petrol,2.0,50930,4.0,Automatic,Rear,2-3,Left wheel,Black,12,0,9
11604,639.0,HYUNDAI,2014,Sedan,Yes,LPG,2.0,264872,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,12
314,259.0,CHEVROLET,2014,Hatchback,Yes,Hybrid,1.4,131893,4.0,Automatic,Front,2-3,Left wheel,Brown,0,0,12
5488,751.0,GMC,2013,Jeep,Yes,Petrol,2.4,138958,4.0,Automatic,Front,2-3,Left wheel,Black,12,0,13
4300,,MERCEDES-BENZ,1985,Universal,No,Diesel,2.5,1111111,4.0,Manual,Rear,2-3,Left wheel,Black,1,0,41
18817,609.0,TOYOTA,2018,Sedan,Yes,Hybrid,2.5,35058,4.0,Automatic,Front,2-3,Left wheel,White,12,0,8
21169,697.0,HONDA,2015,Jeep,No,Petrol,1.8,33330,4.0,Automatic,4x4,2-3,Left wheel,Grey,8,0,11
9095,,FIAT,2011,Coupe,No,Petrol,1.2,141000,4.0,Automatic,Front,4-5,Right-hand drive,Red,4,0,15
1568,639.0,VOLKSWAGEN,2014,Sedan,Yes,Diesel,2.0,82392,4.0,Automatic,Front,2-3,Left wheel,Silver,12,0,12
3136,,SUBARU,2005,Goods wagon,No,Petrol,2.0,180000,6.0,Tiptronic,4x4,2-3,Right-hand drive,Blue,6,1,21
17876,585.0,HYUNDAI,2013,Sedan,Yes,Petrol,1.8,117920,4.0,Tiptronic,Front,2-3,Left wheel,Grey,12,0,13
11290,891.0,HYUNDAI,2016,Sedan,Yes,LPG,2.0,279787,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,10
36065,1399.0,TOYOTA,2010,Minivan,Yes,Petrol,3.5,227200,6.0,Tiptronic,Front,2-3,Left wheel,White,16,0,16
862,394.0,TOYOTA,2014,Sedan,Yes,Hybrid,2.5,130478,4.0,Automatic,Front,2-3,Left wheel,White,12,0,12
21395,781.0,HYUNDAI,2012,Universal,Yes,Diesel,2.5,166144,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,14
15681,891.0,HYUNDAI,2016,Sedan,Yes,LPG,2.0,258706,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,10
627,475.0,CHEVROLET,2012,Jeep,Yes,Hybrid,1.4,188419,4.0,Automatic,Front,2-3,Left wheel,Red,0,0,14
40070,690.0,TOYOTA,2016,Hatchback,Yes,Petrol,1.5,25807,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,10
11917,,MERCEDES-BENZ,2008,Hatchback,No,Petrol,1.7,180000,4.0,Automatic,Front,2-3,Left wheel,Golden,8,0,18
72130,1079.0,LEXUS,2018,Jeep,Yes,Petrol,2.0,18918,4.0,Tiptronic,Front,2-3,Left wheel,Black,6,1,8
35927,640.0,SSANGYONG,2013,Jeep,Yes,Diesel,2.0,137267,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,13
21012,308.0,TOYOTA,2014,Sedan,No,Hybrid,1.8,160000,4.0,Automatic,4x4,2-3,Left wheel,White,4,0,12
21012,1823.0,TOYOTA,2018,Sedan,Yes,Petrol,3.5,27358,6.0,Automatic,Front,2-3,Left wheel,Grey,12,0,8
13172,1361.0,KIA,2009,Minivan,Yes,Diesel,2.9,84176,4.0,Automatic,Front,2-3,Left wheel,White,6,0,17
15624,707.0,HYUNDAI,2011,Coupe,Yes,Petrol,2.0,107005,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,15
4547,,OPEL,1997,Sedan,No,Petrol,1.6,15000,4.0,Manual,Front,2-3,Left wheel,Beige,2,0,29
5488,1273.0,INFINITI,2015,Jeep,Yes,Petrol,3.5,124154,6.0,Automatic,4x4,2-3,Left wheel,Black,12,0,11
20005,531.0,HYUNDAI,2012,Sedan,Yes,Petrol,1.6,104997,4.0,Automatic,Front,2-3,Left wheel,White,4,0,14
36110,924.0,VOLKSWAGEN,2017,Sedan,Yes,Petrol,1.8,27728,6.0,Tiptronic,Front,2-3,Left wheel,Silver,8,0,9
7840,,MERCEDES-BENZ,1998,Sedan,Yes,Petrol,2.4,777777,6.0,Manual,Rear,2-3,Left wheel,Blue,4,0,28
470,1077.0,MAZDA,2019,Jeep,Yes,Petrol,2.0,11566,4.0,Automatic,4x4,2-3,Left wheel,Black,12,0,7
1300,,AUDI,2018,Coupe,Yes,Petrol,0.5,4000,1.0,Tiptronic,Rear,>5,Right-hand drive,Blue,0,0,8
43880,891.0,HYUNDAI,2016,Jeep,Yes,Diesel,2.0,113700,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,10
29479,584.0,MERCEDES-BENZ,2014,Sedan,Yes,Petrol,1.8,69000,4.0,Tiptronic,Rear,2-3,Left wheel,Grey,8,1,12
17249,,TOYOTA,2011,Sedan,Yes,Hybrid,2.5,152000,4.0,Variator,Front,2-3,Left wheel,White,12,0,15
9408,,TOYOTA,2003,Universal,No,Petrol,1.5,181926,4.0,Automatic,4x4,2-3,Right-hand drive,Silver,2,0,23
44213,891.0,HYUNDAI,2016,Jeep,Yes,Diesel,2.0,50255,4.0,Automatic,Front,2-3,Left wheel,Red,4,0,10
8467,2078.0,BMW,2001,Sedan,Yes,Petrol,2.5,252800,6.0,Manual,Rear,2-3,Left wheel,Grey,6,0,25
627,915.0,AUDI,2014,Sedan,Yes,Petrol,3.0,164488,6.0,Automatic,4x4,2-3,Left wheel,Silver,12,0,12
21950,831.0,FORD,2011,Goods wagon,No,Diesel,2.4,125000,4.0,Manual,4x4,2-3,Left wheel,White,2,1,15
706,475.0,FIAT,2012,Hatchback,Yes,Petrol,1.4,164574,4.0,Automatic,Front,2-3,Left wheel,Red,12,0,14
3136,473.0,CHEVROLET,2014,Sedan,Yes,Petrol,1.4,156992,4.0,Automatic,Front,2-3,Left wheel,Black,12,0,12
3450,,OPEL,1995,Sedan,No,CNG,2.0,0,4.0,Manual,Front,2-3,Left wheel,White,2,0,31
9408,,MITSUBISHI,1998,Jeep,No,Petrol,3.5,11000,6.0,Tiptronic,4x4,2-3,Right-hand drive,Silver,4,1,28
31500,,NISSAN,2010,Jeep,Yes,LPG,4.0,90200,6.0,Tiptronic,4x4,2-3,Left wheel,Black,12,0,16
20385,,MITSUBISHI,2005,Minivan,Yes,Petrol,3.0,184000,6.0,Automatic,4x4,2-3,Right-hand drive,White,12,0,21
314,1053.0,MERCEDES-BENZ,2014,Sedan,Yes,Diesel,3.5,149486,6.0,Automatic,4x4,2-3,Left wheel,Silver,12,0,12
2300,,VOLKSWAGEN,1996,Sedan,No,CNG,2.0,0,4.0,Manual,Front,2-3,Left wheel,Green,0,0,30
7840,,MERCEDES-BENZ,2004,Universal,No,LPG,1.9,170000,4.0,Tiptronic,Front,2-3,Left wheel,Silver,4,0,22
56450,,TOYOTA,2018,Sedan,Yes,Petrol,2.5,25000,4.0,Tiptronic,Front,2-3,Left wheel,Blue,12,0,8
1490,639.0,VOLKSWAGEN,2014,Universal,Yes,Diesel,2.0,113214,4.0,Automatic,Front,2-3,Left wheel,Grey,12,0,12
627,836.0,TOYOTA,2012,Sedan,Yes,Petrol,2.7,394069,4.0,Automatic,Rear,2-3,Left wheel,Black,12,0,14
314,1053.0,MERCEDES-BENZ,2014,Sedan,Yes,Diesel,3.5,149486,6.0,Automatic,4x4,2-3,Left wheel,Silver,12,0,12
13172,,HONDA,2002,Jeep,No,Petrol,2.4,260000,4.0,Automatic,4x4,2-3,Left wheel,Silver,6,0,24
19757,,NISSAN,1990,Jeep,No,Diesel,2.8,222222,4.0,Manual,Rear,2-3,Left wheel,Black,0,1,36
4704,917.0,AUDI,2013,Hatchback,Yes,Petrol,3.0,301707,6.0,Automatic,4x4,2-3,Left wheel,Grey,0,0,13
706,751.0,HYUNDAI,2013,Sedan,Yes,Petrol,2.4,175827,4.0,Automatic,Front,2-3,Left wheel,Black,12,0,13
5802,1055.0,MERCEDES-BENZ,2013,Sedan,Yes,Diesel,3.5,107800,6.0,Automatic,Rear,2-3,Left wheel,Grey,12,0,13
25716,777.0,TOYOTA,2014,Sedan,No,Petrol,2.5,115200,4.0,Automatic,Front,2-3,Left wheel,Silver,8,0,12
14426,642.0,CHEVROLET,2012,Jeep,Yes,LPG,2.0,132036,4.0,Automatic,Front,2-3,Left wheel,White,4,0,14
10820,,TOYOTA,2001,Jeep,No,Petrol,2.0,91000,4.0,Automatic,4x4,4-5,Right-hand drive,Silver,4,0,25
45436,1172.0,FORD,2011,Jeep,Yes,Petrol,3.5,129177,4.0,Automatic,Front,2-3,Left wheel,White,4,0,15
11917,893.0,HYUNDAI,2008,Hatchback,No,Diesel,1.6,201000,4.0,Manual,Front,2-3,Left wheel,Black,8,0,18
