levy,manufacturer,prod_year,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,is_turbo,car_age
447.0,HONDA,2013,Hatchback,Yes,Hybrid,1.3,116581,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,13
1091.0,HYUNDAI,2016,Minivan,Yes,Diesel,2.5,110969,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,10
1399.0,LEXUS,2010,Jeep,Yes,Hybrid,3.5,315270,6.0,Automatic,4x4,2-3,Left wheel,Grey,12,0,16
,HONDA,2014,Hatchback,No,Hybrid,1.5,138000,4.0,Automatic,Front,2-3,Right-hand drive,Blue,8,0,12
,NISSAN,2005,Hatchback,Yes,Petrol,1.5,0,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,21
781.0,TOYOTA,2012,Sedan,Yes,Hybrid,2.5,195994,4.0,Variator,Front,2-3,Left wheel,Silver,12,0,14
1077.0,TOYOTA,2019,Jeep,Yes,Petrol,2.0,4330,4.0,Automatic,Front,2-3,Left wheel,White,12,0,7
1053.0,MERCEDES-BENZ,2014,Sedan,Yes,Diesel,3.5,200179,6.0,Automatic,4x4,2-3,Left wheel,Black,12,0,12
,TOYOTA,2017,Sedan,Yes,Plug-in Hybrid,1.8,32000,4.0,Variator,Front,2-3,Left wheel,White,8,0,9
,CHEVROLET,2012,Sedan,No,Plug-in Hybrid,1.4,160000,4.0,Automatic,Front,2-3,Left wheel,White,10,0,14
891.0,HYUNDAI,2016,Sedan,No,Petrol,2.0,88000,4.0,Automatic,Front,2-3,Left wheel,Black,8,0,10
891.0,HYUNDAI,2016,Jeep,Yes,Diesel,2.0,121121,4.0,Automatic,Front,2-3,Left wheel,White,4,0,10
765.0,HYUNDAI,2015,Sedan,Yes,LPG,2.0,51274,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,11
,TOYOTA,2012,Pickup,No,Diesel,3.0,163000,4.0,Manual,4x4,2-3,Left wheel,Silver,8,0,14
640.0,HYUNDAI,2013,Jeep,Yes,Diesel,2.0,120456,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,13
503.0,RENAULT,2012,Universal,Yes,Diesel,1.5,170000,4.0,Manual,Front,2-3,Left wheel,Black,6,1,14
586.0,TOYOTA,2012,Hatchback,No,Hybrid,1.8,1000,4.0,Variator,Front,2-3,Left wheel,Grey,12,0,14
,VOLKSWAGEN,1993,Hatchback,No,Diesel,1.9,237580,4.0,Manual,Front,2-3,Left wheel,Green,4,1,33
,SUBARU,2000,Jeep,No,CNG,2.0,200000,4.0,Automatic,4x4,2-3,Right-hand drive,White,4,0,26
1091.0,HYUNDAI,2016,Minivan,Yes,Diesel,2.5,109629,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,10
,INFINITI,2011,Sedan,Yes,Petrol,3.7,62000,6.0,Tiptronic,Rear,2-3,Left wheel,White,12,0,15
1266.0,TOYOTA,2014,Hatchback,No,Hybrid,1.5,96000,4.0,Automatic,Front,2-3,Right-hand drive,White,2,0,12
891.0,HYUNDAI,2016,Hatchback,Yes,Petrol,2.0,40464,4.0,Automatic,Front,2-3,Left wheel,Grey,12,0,10
382.0,FORD,2015,Sedan,Yes,Hybrid,2.0,88795,4.0,Automatic,Front,2-3,Left wheel,Black,0,0,11
,DODGE,2013,Sedan,No,Petrol,2.0,152000,4.0,Tiptronic,Front,2-3,Left wheel,Black,8,0,13
934.0,TOYOTA,2015,Jeep,Yes,Petrol,2.5,89786,4.0,Automatic,4x4,2-3,Left wheel,Silver,0,0,11
,TOYOTA,2012,Hatchback,No,Hybrid,1.5,159000,4.0,Automatic,Front,2-3,Right-hand drive,Blue,2,0,14
,HONDA,2006,Jeep,No,Petrol,2.4,117000,4.0,Automatic,4x4,2-3,Left wheel,Silver,6,0,20
530.0,NISSAN,2013,Jeep,Yes,Petrol,1.6,166013,4.0,Automatic,Front,2-3,Left wheel,White,0,0,13
833.0,CHEVROLET,2015,Jeep,Yes,Diesel,2.2,69320,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,11
,MERCEDES-BENZ,1998,Sedan,No,Petrol,1.8,23000,4.0,Manual,Front,2-3,Left wheel,Black,4,0,28
501.0,TOYOTA,2014,Hatchback,Yes,Petrol,1.5,141053,4.0,Automatic,Front,2-3,Left wheel,White,4,0,12
,BMW,2004,Sedan,Yes,Petrol,3.0,280000,6.0,Tiptronic,Rear,2-3,Left wheel,Grey,8,0,22
,HONDA,2009,Pickup,Yes,Petrol,3.5,256000,6.0,Automatic,4x4,2-3,Left wheel,White,6,0,17
1935.0,LEXUS,2016,Jeep,Yes,Petrol,4.6,155976,8.0,Automatic,4x4,2-3,Left wheel,White,0,0,10
915.0,MERCEDES-BENZ,2014,Jeep,Yes,Diesel,3.0,238448,6.0,Automatic,4x4,2-3,Left wheel,White,12,0,12
,SUBARU,2000,Jeep,No,CNG,2.5,149045,4.0,Manual,4x4,2-3,Left wheel,Golden,4,0,26
,OPEL,2000,Goods wagon,No,Diesel,2.0,0,4.0,Manual,Front,2-3,Left wheel,Silver,2,1,26
,BMW,2012,Jeep,Yes,Diesel,3.0,198211,6.0,Tiptronic,4x4,2-3,Left wheel,Grey,12,1,14
779.0,VOLKSWAGEN,2013,Sedan,Yes,Diesel,2.5,23184,5.0,Automatic,Front,2-3,Left wheel,White,12,0,13
862.0,NISSAN,2011,Jeep,Yes,Petrol,2.5,155000,4.0,Automatic,Front,2-3,Left wheel,Red,16,0,15
781.0,HYUNDAI,2012,Universal,Yes,Diesel,2.5,206211,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,14
765.0,HYUNDAI,2015,Sedan,Yes,LPG,2.0,586667,4.0,Automatic,Front,2-3,Left wheel,Orange,4,0,11
,TOYOTA,2007,Sedan,No,Petrol,1.6,179000,4.0,Tiptronic,Front,2-3,Left wheel,Grey,0,0,19
586.0,CHEVROLET,2012,Sedan,No,Petrol,1.8,216000,4.0,Manual,Front,2-3,Left wheel,Silver,6,0,14
687.0,HYUNDAI,2010,Sedan,Yes,Petrol,1.6,138425,4.0,Automatic,Front,2-3,Left wheel,White,4,0,16
777.0,HYUNDAI,2014,Minivan,Yes,Diesel,2.5,170971,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,12
474.0,CHEVROLET,2013,Hatchback,No,Plug-in Hybrid,1.4,144000,4.0,Automatic,Front,2-3,Left wheel,Grey,12,0,13
1077.0,HYUNDAI,2019,Jeep,Yes,Diesel,2.0,7865,4.0,Automatic,Front,2-3,Left wheel,Brown,4,0,7
,FORD,1999,Microbus,No,Diesel,2.5,136000,4.0,Manual,Rear,2-3,Left wheel,White,2,1,27
1451.0,BMW,2011,Jeep,Yes,Petrol,4.4,147677,8.0,Automatic,4x4,2-3,Left wheel,Red,12,0,15
891.0,HYUNDAI,2016,Jeep,Yes,Diesel,2.0,59000,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,10
1017.0,HYUNDAI,2017,Jeep,Yes,Diesel,2.0,98847,4.0,Automatic,Front,2-3,Left wheel,White,4,0,9
,FORD,2014,Sedan,Yes,Plug-in Hybrid,2.0,140000,4.0,Automatic,Front,2-3,Left wheel,Black,10,0,12
777.0,HYUNDAI,2014,Minivan,Yes,Diesel,2.5,151854,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,12
,MERCEDES-BENZ,1996,Sedan,No,CNG,2.3,4000000,6.0,Automatic,Rear,2-3,Left wheel,Green,4,0,30
836.0,CHEVROLET,2010,Sedan,Yes,Diesel,2.0,161629,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,16
836.0,HYUNDAI,2010,Sedan,Yes,Petrol,2.0,195921,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,16
586.0,CHEVROLET,2012,Sedan,Yes,Petrol,1.8,61000,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,14
,OPEL,1995,Sedan,No,CNG,2.0,0,4.0,Manual,Front,2-3,Left wheel,White,2,0,31
836.0,HYUNDAI,2010,Jeep,Yes,Diesel,2.0,130339,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,16
,TOYOTA,2008,Hatchback,Yes,LPG,1.5,120000,4.0,Automatic,Front,2-3,Left wheel,White,4,0,18
1266.0,TOYOTA,2014,Hatchback,No,Hybrid,1.5,134800,4.0,Variator,Front,2-3,Right-hand drive,Silver,2,0,12
530.0,NISSAN,2013,Jeep,Yes,Petrol,1.6,153888,4.0,Automatic,4x4,2-3,Left wheel,White,0,0,13
,FORD,1997,Microbus,No,Diesel,2.5,0,4.0,Manual,Rear,2-3,Left wheel,White,2,0,29
1091.0,HYUNDAI,2016,Minivan,Yes,Diesel,2.5,77227,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,10
,OPEL,2005,Minivan,No,Petrol,1.6,287140,4.0,Manual,Front,2-3,Left wheel,White,4,0,21
777.0,TOYOTA,2014,Sedan,Yes,Petrol,2.5,147845,4.0,Automatic,Front,2-3,Left wheel,Grey,8,0,12
1266.0,HONDA,2014,Hatchback,No,Hybrid,1.5,114000,4.0,Automatic,4x4,2-3,Right-hand drive,Silver,12,0,12
,TOYOTA,2012,Sedan,No,Petrol,1.8,190000,4.0,Automatic,Front,2-3,Left wheel,Blue,8,0,14
642.0,VOLKSWAGEN,2012,Hatchback,No,Diesel,2.0,0,4.0,Manual,Front,2-3,Left wheel,Grey,12,1,14
,TOYOTA,2007,Hatchback,Yes,Hybrid,1.5,297600,4.0,Automatic,Front,2-3,Left wheel,Sky blue,6,0,19
530.0,HYUNDAI,2013,Sedan,Yes,Petrol,1.6,163000,4.0,Automatic,Front,2-3,Left wheel,White,4,0,13
585.0,HYUNDAI,2013,Sedan,Yes,Petrol,1.8,168341,4.0,Automatic,Front,2-3,Left wheel,Blue,4,0,13
639.0,HYUNDAI,2014,Sedan,Yes,LPG,2.0,490516,4.0,Automatic,Front,2-3,Left wheel,Orange,4,0,12
1091.0,HYUNDAI,2016,Minivan,Yes,Diesel,2.5,119098,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,10
831.0,HYUNDAI,2017,Sedan,Yes,Petrol,1.6,84000,4.0,Automatic,Front,2-3,Left wheel,White,4,0,9
,OPEL,1999,Sedan,No,Petrol,1.8,345555,6.0,Manual,Front,2-3,Left wheel,Silver,4,0,27
831.0,JEEP,2011,Jeep,Yes,Petrol,2.4,69752,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,15
1017.0,MERCEDES-BENZ,2017,Jeep,Yes,Petrol,2.0,109608,4.0,Automatic,Front,2-3,Left wheel,White,0,0,9
,OPEL,1996,Sedan,No,Petrol,2.0,1111111,4.0,Manual,Front,2-3,Left wheel,Sky blue,2,0,30
583.0,HYUNDAI,2011,Sedan,Yes,Petrol,1.6,157827,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,15
761.0,TOYOTA,2010,Hatchback,Yes,Hybrid,1.8,258909,4.0,Automatic,Front,2-3,Left wheel,White,12,0,16
586.0,CHEVROLET,2012,Sedan,Yes,Petrol,1.8,158223,4.0,Automatic,Front,2-3,Left wheel,White,4,0,14
,BMW,2000,Sedan,No,Petrol,2.2,200000,6.0,Tiptronic,Rear,2-3,Left wheel,Silver,6,0,26
639.0,HYUNDAI,2014,Sedan,Yes,LPG,2.0,325829,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,12
891.0,HYUNDAI,2016,Sedan,Yes,LPG,2.0,57491,4.0,Automatic,Front,2-3,Left wheel,Red,4,0,10
586.0,NISSAN,2012,Sedan,No,Petrol,1.8,60000,4.0,Automatic,Front,2-3,Left wheel,Silver,6,0,14
,BMW,2009,Coupe,Yes,Petrol,2.8,130000,6.0,Tiptronic,Rear,4-5,Left wheel,White,6,0,17
474.0,CHEVROLET,2013,Sedan,No,Petrol,1.4,78000,4.0,Tiptronic,Front,2-3,Left wheel,Sky blue,6,0,13
,MERCEDES-BENZ,2010,Microbus,No,Diesel,2.2,1111,5.0,Manual,Rear,2-3,Left wheel,White,7,1,16
765.0,SUBARU,2015,Sedan,Yes,Petrol,2.0,111285,4.0,Automatic,4x4,2-3,Left wheel,Black,0,0,11
,MERCEDES-BENZ,2002,Sedan,Yes,Diesel,2.7,350000,5.0,Tiptronic,Rear,2-3,Left wheel,Blue,4,1,24
891.0,HYUNDAI,2016,Coupe,Yes,Petrol,2.0,112032,4.0,Automatic,Front,2-3,Left wheel,White,4,0,10
891.0,CHEVROLET,2016,Jeep,Yes,LPG,2.0,121940,4.0,Automatic,Front,2-3,Left wheel,White,4,0,10
917.0,MITSUBISHI,2013,Jeep,No,Petrol,3.0,126000,6.0,Automatic,4x4,2-3,Left wheel,Orange,8,0,13
650.0,CHEVROLET,2016,Sedan,No,Petrol,1.4,119709,4.0,Automatic,Front,2-3,Left wheel,Grey,0,0,10
,MITSUBISHI,2007,Hatchback,No,Petrol,1.5,180000,4.0,Automatic,Front,2-3,Right-hand drive,Silver,6,0,19
1236.0,HONDA,2011,Hatchback,No,Hybrid,1.3,14590,4.0,Automatic,Front,2-3,Right-hand drive,Grey,0,0,15
640.0,HYUNDAI,2013,Jeep,Yes,Diesel,2.0,120534,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,13
,TOYOTA,2007,Sedan,No,Petrol,1.6,139400,4.0,Tiptronic,Front,2-3,Left wheel,Red,10,0,19
,FORD,2007,Jeep,No,Petrol,3.5,120000,6.0,Automatic,Front,2-3,Left wheel,Grey,6,0,19
730.0,CHEVROLET,2016,Jeep,Yes,Diesel,1.6,126104,4.0,Automatic,Front,2-3,Left wheel,White,4,0,10
1058.0,LEXUS,2012,Jeep,Yes,Hybrid,3.5,232357,6.0,Automatic,4x4,2-3,Left wheel,Black,12,0,14
891.0,BMW,2016,Sedan,Yes,Petrol,2.0,32000,4.0,Tiptronic,Rear,2-3,Left wheel,Black,12,1,10
530.0,FORD,2013,Sedan,Yes,Petrol,1.6,188800,4.0,Automatic,Front,2-3,Left wheel,Carnelian red,10,0,13
639.0,HYUNDAI,2014,Jeep,Yes,Diesel,2.0,131084,4.0,Automatic,Front,2-3,Left wheel,White,4,0,12
1514.0,HYUNDAI,2011,Sedan,Yes,Petrol,4.6,118432,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,15
,MERCEDES-BENZ,2009,Jeep,Yes,Petrol,3.5,169600,8.0,Automatic,4x4,2-3,Left wheel,White,8,0,17
502.0,TOYOTA,2013,Hatchback,No,Hybrid,1.5,103000,4.0,Variator,Front,2-3,Left wheel,Grey,4,0,13
638.0,KIA,2014,Sedan,Yes,Petrol,2.0,36037,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,12
765.0,HYUNDAI,2015,Jeep,Yes,Diesel,2.0,99000,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,11
642.0,BMW,2012,Jeep,Yes,Petrol,2.0,102400,4.0,Tiptronic,4x4,2-3,Left wheel,Blue,12,1,14
363.0,CHEVROLET,2014,Hatchback,Yes,Petrol,1.0,95100,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,12
639.0,HYUNDAI,2014,Sedan,Yes,LPG,2.0,793967,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,12
765.0,HYUNDAI,2015,Jeep,Yes,Diesel,2.0,139235,4.0,Automatic,Front,2-3,Left wheel,White,4,0,11
769.0,MERCEDES-BENZ,2011,Goods wagon,No,Diesel,2.2,260000,4.0,Manual,Rear,2-3,Left wheel,White,2,1,15
707.0,SSANGYONG,2011,Jeep,Yes,Diesel,2.0,201494,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,15
1185.0,FORD,2009,Jeep,Yes,Hybrid,2.5,143131,4.0,Automatic,Front,2-3,Left wheel,Silver,8,0,17
,MERCEDES-BENZ,1999,Sedan,No,Petrol,2.4,253000,6.0,Manual,Rear,2-3,Left wheel,Silver,5,0,27
,MERCEDES-BENZ,2001,Sedan,Yes,Diesel,2.2,3000,4.0,Tiptronic,Rear,2-3,Left wheel,White,6,1,25
1172.0,MERCEDES-BENZ,2011,Sedan,Yes,Diesel,3.5,122067,6.0,Automatic,4x4,2-3,Left wheel,White,12,0,15
687.0,HYUNDAI,2010,Sedan,Yes,Petrol,1.6,112417,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,16
,KIA,2014,Sedan,No,Hybrid,2.4,81000,4.0,Tiptronic,Front,2-3,Left wheel,Black,8,0,12
,MERCEDES-BENZ,2003,Microbus,No,Diesel,2.7,230000,5.0,Manual,Rear,2-3,Left wheel,White,1,1,23
1811.0,LEXUS,2010,Jeep,Yes,Petrol,4.6,155821,8.0,Automatic,4x4,2-3,Left wheel,Black,0,0,16
585.0,LEXUS,2013,Hatchback,Yes,Hybrid,1.8,267015,4.0,Tiptronic,Front,2-3,Left wheel,Silver,12,1,13
,TOYOTA,2013,Hatchback,No,Hybrid,1.5,170000,4.0,Variator,Front,2-3,Right-hand drive,Silver,4,0,13
363.0,CHEVROLET,2014,Sedan,Yes,Petrol,1.0,41984,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,12
1024.0,TOYOTA,2010,Sedan,Yes,Petrol,2.5,236571,4.0,Automatic,Front,2-3,Left wheel,Silver,12,0,16
1327.0,SUBARU,2018,Sedan,Yes,Petrol,2.5,0,4.0,Automatic,4x4,2-3,Left wheel,Silver,12,0,8
761.0,TOYOTA,2010,Hatchback,No,Hybrid,1.8,90532,4.0,Automatic,Front,2-3,Left wheel,White,12,0,16
473.0,CHEVROLET,2014,Sedan,No,Petrol,1.4,87000,4.0,Tiptronic,Front,2-3,Left wheel,Silver,8,0,12
,TOYOTA,2013,Sedan,Yes,Hybrid,2.5,200000,6.0,Tiptronic,Front,2-3,Left wheel,Blue,0,0,13
,HONDA,2012,Hatchback,No,Hybrid,1.5,118000,4.0,Tiptronic,Front,2-3,Right-hand drive,White,6,0,14
1537.0,TOYOTA,2009,Jeep,Yes,Hybrid,3.3,420550,6.0,Automatic,4x4,2-3,Left wheel,Blue,12,0,17
1363.0,LEXUS,2012,Jeep,Yes,Petrol,4.6,150909,8.0,Automatic,4x4,2-3,Left wheel,Black,0,0,14
761.0,TOYOTA,2010,Hatchback,Yes,Hybrid,1.8,159382,4.0,Automatic,Front,2-3,Left wheel,White,12,0,16
,VOLKSWAGEN,2010,Sedan,Yes,Petrol,2.0,0,4.0,Tiptronic,Rear,2-3,Left wheel,White,4,0,16
,TOYOTA,2008,Sedan,Yes,Petrol,1.5,259200,4.0,Automatic,Front,2-3,Left wheel,Green,8,0,18
586.0,TOYOTA,2012,Hatchback,Yes,Hybrid,1.8,323733,4.0,Automatic,Front,2-3,Left wheel,Grey,12,0,14
640.0,SSANGYONG,2013,Jeep,Yes,Diesel,2.0,130000,4.0,Automatic,Front,2-3,Left wheel,White,4,0,13
,HONDA,2004,Minivan,Yes,Petrol,2.4,197000,4.0,Tiptronic,Front,2-3,Right-hand drive,Black,6,0,22
707.0,SSANGYONG,2011,Jeep,Yes,Diesel,2.0,102000,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,15
,SUZUKI,2019,Jeep,No,Petrol,1.0,4800,3.0,Tiptronic,Front,2-3,Left wheel,Golden,10,1,7
1277.0,HYUNDAI,2018,Sedan,Yes,Petrol,2.4,46853,4.0,Automatic,4x4,2-3,Left wheel,Black,12,0,8
934.0,MAZDA,2015,Jeep,Yes,Petrol,2.5,193382,4.0,Automatic,4x4,2-3,Left wheel,Blue,12,0,11
,SUBARU,1998,Hatchback,No,Petrol,1.6,280000,4.0,Manual,4x4,2-3,Left wheel,Green,2,0,28
934.0,SUBARU,2015,Jeep,Yes,Petrol,2.5,90392,4.0,Automatic,4x4,2-3,Left wheel,White,0,0,11
642.0,CHEVROLET,2012,Jeep,Yes,Diesel,2.0,201892,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,14
1399.0,MERCEDES-BENZ,2010,Sedan,Yes,Diesel,3.5,189530,6.0,Automatic,4x4,2-3,Left wheel,Black,12,0,16
,MERCEDES-BENZ,2008,Minivan,Yes,Diesel,2.2,200000,6.0,Tiptronic,Rear,2-3,Left wheel,Golden,4,1,18
765.0,HYUNDAI,2015,Sedan,Yes,LPG,2.0,553481,4.0,Automatic,Front,2-3,Left wheel,Orange,4,0,11
919.0,BMW,2012,Jeep,Yes,Diesel,3.0,103458,6.0,Automatic,4x4,2-3,Left wheel,White,0,0,14
640.0,HYUNDAI,2013,Jeep,Yes,Diesel,2.0,139488,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,13
,DODGE,2008,Hatchback,No,Petrol,2.4,0,4.0,Automatic,Front,2-3,Left wheel,Blue,4,0,18
,SUBARU,2013,Jeep,Yes,Petrol,2.5,80000,6.0,Tiptronic,4x4,2-3,Left wheel,Silver,12,0,13
697.0,TOYOTA,2015,Hatchback,No,Petrol,1.8,98483,4.0,Automatic,Front,2-3,Left wheel,White,8,0,11
749.0,HYUNDAI,2014,Jeep,Yes,Petrol,2.4,0,4.0,Automatic,Front,2-3,Left wheel,Silver,0,0,12
,SUZUKI,2013,Minivan,No,Petrol,2.0,162000,4.0,Variator,Front,2-3,Right-hand drive,Silver,6,0,13
,NISSAN,2003,Jeep,Yes,Petrol,3.5,61000,6.0,Automatic,4x4,2-3,Left wheel,Golden,12,0,23
,TOYOTA,2010,Hatchback,No,Hybrid,1.8,162000,4.0,Variator,Front,2-3,Left wheel,Black,12,0,16
586.0,HYUNDAI,2012,Sedan,Yes,Petrol,1.8,197589,4.0,Automatic,Front,2-3,Left wheel,Black,12,0,14
891.0,HONDA,2016,Sedan,Yes,Petrol,2.0,57000,4.0,Automatic,Front,2-3,Left wheel,White,4,0,10
,TOYOTA,2018,Sedan,Yes,Hybrid,2.5,27484,8.0,Automatic,Front,>5,Left wheel,Beige,12,0,8
456.0,TOYOTA,2015,Sedan,Yes,Hybrid,2.5,134000,6.0,Automatic,Rear,2-3,Left wheel,Black,12,0,11
,HYUNDAI,2015,Sedan,Yes,Hybrid,2.4,94000,4.0,Automatic,Front,2-3,Left wheel,Sky blue,8,0,11
687.0,DAEWOO,2010,Sedan,Yes,Petrol,1.6,36125,4.0,Automatic,Front,2-3,Left wheel,Blue,4,0,16
781.0,TOYOTA,2012,Sedan,Yes,Petrol,2.5,70000,4.0,Tiptronic,Front,>5,Left wheel,White,12,0,14
